DNB URL,info,year,country,revenue
https://www.dnb.com/business-directory/company-profiles.magnet_360_llc.bcde5ebd3649c15d5b587838d7b02876.html,"Magnet 360, LLC is located in Minneapolis, MN, United States and is part of the Management, Scientific, and Technical Consulting Services Industry. Magnet 360, LLC has 100 total employees across all of its locations and generates $23.67 million in sales (USD). (Sales figure is modelled). There are 1,251 companies in the Magnet 360, LLC corporate family.",2008,United States,23.67
https://www.dnb.com/business-directory/company-profiles.hcl_technologies_limited.bb356175814f6ed81dbcb0bc02fecc69.html,"HCL is short for IT. HCL Technologies is one of the top five-largest offshore IT service providers in India. It offers a variety of technology consulting services, including application and enterprise consulting, infrastructure management, and product engineering. The company also provides management services for customer contact, technical support, and other outsourced business processes. HCL Technologies boasts a diverse customer base that includes Boeing, General Motors, Microsoft, and Xerox. It has offices in more than 25 countries, but earns more than half of its revenues from customers in the US. HCL Technologies is the sister company to computer manufacturer HCL Infosystems. ",1991,India,
https://www.dnb.com/business-directory/company-profiles.publicis_sapient.c055e233a1251e7da7a57ca7cb4b8584.html,"Publicis Sapient is located in El Segundo, CA, United States and is part of the Advertising, Public Relations, and Related Services Industry. Publicis Sapient has 9 total employees across all of its locations and generates $220,467 in sales (USD). (Employees and Sales figures are modelled). ",2019,United States,"220,467"
https://www.dnb.com/business-directory/company-profiles.coastal_cloud_llc.d33175a5604cb6e34d10caf02b599861.html,"Coastal Cloud LLC is located in Palm Coast, FL, United States and is part of the Management, Scientific, and Technical Consulting Services Industry. Coastal Cloud LLC has 115 total employees across all of its locations and generates $11.97 million in sales (USD). (Sales figure is modelled). There are 2 companies in the Coastal Cloud LLC corporate family.",2012,United States,11.97
https://www.dnb.com/business-directory/company-profiles.ust_global_inc.928cf9cefa64046e7a61a55a5dcd37c7.html,"UST Global Inc is located in Aliso Viejo, CA, United States and is part of the Computer Systems Design and Related Services Industry. UST Global Inc has 8,700 total employees across all of its locations and generates $511.43 million in sales (USD). (Sales figure is modelled). There are 73 companies in the UST Global Inc corporate family.",2007,United States,511.43
https://www.dnb.com/business-directory/company-profiles.viseo.ec38d0a3b3e94495581decdd632af9c3.html,"VISEO is located in BOULOGNE BILLANCOURT, ILE-DE-FRANCE, France and is part of the Computer Systems Design and Related Services Industry. VISEO has 415 employees at this location and generates $154.30 million in sales (USD).  There are 17 companies in the VISEO corporate family.",2013,France,154.30
https://www.dnb.com/business-directory/company-profiles.tavant_technologies_inc.8a550bc43e0e9d671c7b5c172a68650c.html,"Tavant Technologies, Inc. is located in Santa Clara, CA, United States and is part of the Computer Systems Design and Related Services Industry. Tavant Technologies, Inc. has 2,300 total employees across all of its locations and generates $118.80 million in sales (USD). (Sales figure is modelled). There are 17 companies in the Tavant Technologies, Inc. corporate family.",2000,United States,118.80
https://www.dnb.com/business-directory/company-profiles.a5_corp.6141f444a25fc9ee800bc1359b2f7a93.html,"A5 Corp. is located in Pleasanton, CA, United States and is part of the Computer Systems Design and Related Services Industry. A5 Corp. has 24 total employees across all of its locations and generates $5.70 million in sales (USD). (Sales figure is modelled). There are 4 companies in the A5 Corp. corporate family.",2010,United States,5.70
https://www.dnb.com/business-directory/company-profiles.lirik_inc.f0d9a967bff0be6721d01a20c67ff2e1.html,"Lirik Inc. is located in Milpitas, CA, United States and is part of the Computer Systems Design and Related Services Industry. Lirik Inc. has 3 total employees across all of its locations and generates $386,160 in sales (USD). (Sales figure is modelled). ",2015,United States,"386,160"
https://www.dnb.com/business-directory/company-profiles.gyansys_inc.d186bcbcbdcee774f324d51d90444c4d.html,"Gyansys, Inc. is located in Carmel, IN, United States and is part of the Computer Systems Design and Related Services Industry. Gyansys, Inc. has 500 total employees across all of its locations and generates $30.00 million in sales (USD). (Sales figure is estimated). There are 2 companies in the Gyansys, Inc. corporate family.",2005,United States,30.00
https://www.dnb.com/business-directory/company-profiles.mirketa_inc.c0be4526f2a30af61fc5b5632cac46e7.html,"Mirketa Inc is located in Dublin, CA, United States and is part of the Computer Systems Design and Related Services Industry. Mirketa Inc has 23 total employees across all of its locations and generates $1.10 million in sales (USD). (Employees and Sales figures are modelled). ",2003,United States,1.10
https://www.dnb.com/business-directory/company-profiles.techmatrix_(sg)_pte_ltd.cdafbf82d2a2dccccb57efbd8ea74936.html,"TECHMATRIX (SG) PTE. LTD. is located in Singapore, Singapore and is part of the Computer Systems Design and Related Services Industry. TECHMATRIX (SG) PTE. LTD. has 7 total employees across all of its locations. (Employees figure is modelled). There are 2 companies in the TECHMATRIX (SG) PTE. LTD. corporate family.",2011,Singapore,
https://www.dnb.com/business-directory/company-profiles.transition_technologies_s_a.79c698f079b66c913525711e848ff97e.html,"TRANSITION TECHNOLOGIES S A is located in Warszawa, MAZOWIECKIE, Poland and is part of the Computer Systems Design and Related Services Industry. TRANSITION TECHNOLOGIES S A has 170 employees at this location and generates $36.60 million in sales (USD).  There are 11 companies in the TRANSITION TECHNOLOGIES S A corporate family.",2001,Poland,36.60
https://www.dnb.com/business-directory/company-profiles.a_f_digital_ltd.7929642536af2d215a27478d2dfc76f8.html,"A F DIGITAL LTD is located in ROSSENDALE, United Kingdom and is part of the Computer Systems Design and Related Services Industry.  ",2020,United States,
https://www.dnb.com/business-directory/company-profiles.a_asia_pte_ltd.6e861890c277be5445561a8dec6b3f9a.html,"A. ASIA PTE. LTD. is located in Singapore, Singapore and is part of the Miscellaneous Durable Goods Merchant Wholesalers Industry. A. ASIA PTE. LTD. has 3 total employees across all of its locations. (Employees figure is modelled). ",2019,Singapore,
https://www.dnb.com/business-directory/company-profiles.proquest_it_pty_ltd.9f180160c71fe348444b52cb640a8b95.html,"PROQUEST IT PTY LTD is located in SYDNEY, NEW SOUTH WALES, Australia and is part of the Computer Systems Design and Related Services Industry. PROQUEST IT PTY LTD has 16 employees at this location and generates $2.69 million in sales (USD). (Employees figure is estimated, Sales figure is modelled). ",2004,Australia,2.69
https://www.dnb.com/business-directory/company-profiles.lava_protocols_sdn_bhd.059ebf604c3cfacfc54a0fe43132b733.html,"LAVA PROTOCOLS SDN. BHD. is located in PETALING JAYA, Selangor, Malaysia and is part of the Computer Systems Design and Related Services Industry. LAVA PROTOCOLS SDN. BHD. has 40 total employees across all of its locations. (Employees figure is estimated). ",,Malaysia,
https://www.dnb.com/business-directory/company-profiles.wdci_pty_limited.7f3a440b44d92e60a29e9d347014f2b9.html,"WDCI PTY LIMITED is located in CROWS NEST, NEW SOUTH WALES, Australia and is part of the Computer Systems Design and Related Services Industry. WDCI PTY LIMITED has 5 employees at this location and generates $1.97 million in sales (USD). (Employees figure is estimated, Sales figure is modelled). There are 2 companies in the WDCI PTY LIMITED corporate family.",2008,Australia,1.97
https://www.dnb.com/business-directory/company-profiles.crimsonworks_solutions_pte_ltd.5b59e8a02dc67236a4898936e43d1996.html,"CRIMSONWORKS SOLUTIONS PTE. LTD. is located in Singapore, Singapore and is part of the Computer Systems Design and Related Services Industry. CRIMSONWORKS SOLUTIONS PTE. LTD. has 45 total employees across all of its locations. (Employees figure is estimated). ",2002,Singapore,
https://www.dnb.com/business-directory/company-profiles.big_works_bv.cfe2aea693642fe351e6e72a230bbb2d.html,"Big Works B.V. is located in Haarlem, NOORD-HOLLAND, Netherlands and is part of the Management, Scientific, and Technical Consulting Services Industry. Big Works B.V. has 1 employees at this location and generates $300,000 in sales (USD). (Sales figure is modelled). ",2004,Netherlands,"300,000"
